Algorithm,CPU Time (s),Dataset
Insertion Sort,9.7833e-05,100_random.txt
Selection Sort,0.0001169585,100_random.txt
Bubble Sort,0.000226521,100_random.txt
Merge Sort,0.00011116650000000001,100_random.txt
Quick Sort,4.28335e-05,100_random.txt
Heap Sort,9.87505e-05,100_random.txt
Shell Sort,4.4895500000000004e-05,100_random.txt
Counting Sort,0.0414703335,100_random.txt
Radix Sort,0.000111813,100_random.txt
Bucket Sort,2.0958e-05,100_random.txt
Cocktail-Shaker Sort,0.000197292,100_random.txt
Gnome Sort,0.000305229,100_random.txt
Cycle Sort,0.00026052050000000004,100_random.txt
TimSort (Python built-in),1.709e-06,100_random.txt
Tree Sort,8.7542e-05,100_random.txt
Pancake Sort,0.000112,100_random.txt
Flash Sort,3.1562999999999996e-05,100_random.txt
Tournament Sort,2.10625e-05,100_random.txt
Strand Sort,6.725000000000001e-05,100_random.txt
Insertion Sort,0.0119860625,1000_random.txt
Selection Sort,0.011923333,1000_random.txt
Bubble Sort,0.026908042,1000_random.txt
Merge Sort,0.0013906665000000002,1000_random.txt
Quick Sort,0.0006222915,1000_random.txt
Heap Sort,0.0014855625,1000_random.txt
Shell Sort,0.0008959370000000001,1000_random.txt
Counting Sort,0.0470185835,1000_random.txt
Radix Sort,0.0010034375,1000_random.txt
Bucket Sort,0.00023456250000000002,1000_random.txt
Cocktail-Shaker Sort,0.0242878545,1000_random.txt
Gnome Sort,0.035639229,1000_random.txt
Cycle Sort,0.032246250000000004,1000_random.txt
TimSort (Python built-in),2.3729000000000003e-05,1000_random.txt
Tree Sort,0.0015641045,1000_random.txt
Pancake Sort,0.007043395500000001,1000_random.txt
Flash Sort,0.00029712499999999997,1000_random.txt
Tournament Sort,0.0002503335,1000_random.txt
Strand Sort,0.0030373329999999997,1000_random.txt
Insertion Sort,1.272417167,10000_random.txt
Selection Sort,1.183019063,10000_random.txt
Bubble Sort,2.886232083,10000_random.txt
Merge Sort,0.018287125,10000_random.txt
Quick Sort,0.009050270499999999,10000_random.txt
Heap Sort,0.0229187085,10000_random.txt
Shell Sort,0.016874124999999997,10000_random.txt
Counting Sort,0.0497843125,10000_random.txt
Radix Sort,0.0104146255,10000_random.txt
Bucket Sort,0.002524896,10000_random.txt
Cocktail-Shaker Sort,2.5055376459999996,10000_random.txt
Gnome Sort,3.6489876875,10000_random.txt
Cycle Sort,3.350828833,10000_random.txt
TimSort (Python built-in),0.000574271,10000_random.txt
Tree Sort,0.020560896000000002,10000_random.txt
Pancake Sort,0.9104036870000001,10000_random.txt
Flash Sort,0.003002375,10000_random.txt
Tournament Sort,0.00366775,10000_random.txt
Strand Sort,0.236521313,10000_random.txt
Insertion Sort,133.94306818799998,100000_random.txt
Selection Sort,120.4676656875,100000_random.txt
Bubble Sort,300.31922899999995,100000_random.txt
Merge Sort,0.2198348545,100000_random.txt
Quick Sort,0.1001208955,100000_random.txt
Heap Sort,0.30752039600000003,100000_random.txt
Shell Sort,0.26552295800000003,100000_random.txt
Counting Sort,0.0791034375,100000_random.txt
Radix Sort,0.10682691650000001,100000_random.txt
Bucket Sort,0.029437479,100000_random.txt
Cocktail-Shaker Sort,257.077875167,100000_random.txt
Gnome Sort,370.977607625,100000_random.txt
Cycle Sort,408.31618956299997,100000_random.txt
TimSort (Python built-in),0.008615979,100000_random.txt
Tree Sort,0.293233146,100000_random.txt
Pancake Sort,119.58324568750001,100000_random.txt
Flash Sort,0.046472854,100000_random.txt
Tournament Sort,0.060209729000000003,100000_random.txt
Strand Sort,86.020241333,100000_random.txt
